Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Number of Dead,Country of Origin,Region of Origin,UNSD Geographical Grouping,Incident year,Number of Missing
2019.MMP00033,2019.MMP00033,Incident,Mediterranean,13/1/2019,5,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00034,2019.MMP00034,Cumulative Incident,Mediterranean,14/1/2019,5,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00035,2019.MMP00035,Incident,Mediterranean,14/1/2019,1,Iraq,Western Asia,Uncategorized,2019,0
2019.MMP00036,2019.MMP00036,Incident,North America,14/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00037,2019.MMP00037,Incident,Central America,14/1/2019,1,Honduras,Central America,Central America,2019,0
2019.MMP00038,2019.MMP00038,Incident,Northern Africa,14/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00039,2019.MMP00039,Incident,Western Africa,14/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00040,2019.MMP00040,Incident,Northern Africa,15/1/2019,16,Unknown,Sub-Saharan Africa (P),Northern Africa,2019,0
2019.MMP00041,2019.MMP00041,Incident,Northern Africa,15/1/2019,7,Unknown,Sub-Saharan Africa (P),Northern Africa,2019,0
2019.MMP00043,2019.MMP00043,Incident,Western Asia,15/1/2019,3,Unknown,Western / Southern Asia (P),Western Asia,2019,0
2019.MMP00044,2019.MMP00044,Incident,Mediterranean,15/1/2019,1,Unknown,Northern Africa,Uncategorized,2019,0
2019.MMP00045,2019.MMP00045,Incident,Mediterranean,15/1/2019,1,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00046,2019.MMP00046,Incident,Central America,15/1/2019,1,Honduras,Central America,Central America,2019,0
2019.MMP00047,2019.MMP00047,Incident,Central America,15/1/2019,0,Unknown,Latin America / Caribbean (P),Central America,2019,2
2019.MMP00048,2019.MMP00048,Incident,Central America,16/1/2019,0,Mexico,Central America,Central America,2019,1
2019.MMP00049,2019.MMP00049,Incident,Central America,16/1/2019,1,Mexico,Central America,Central America,2019,0
2019.MMP00050,2019.MMP00050,Incident,Western Africa,16/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00051,2019.MMP00051,Incident,Western Africa,16/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00052,2019.MMP00052,Incident,Northern Africa,17/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00053,2019.MMP00053,Incident,Western Africa,17/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00054,2019.MMP00054,Incident,North America,17/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00055,2019.MMP00055,Incident,North America,17/1/2019,1,El Salvador,Central America,Northern America,2019,0
2019.MMP00056,2019.MMP00056,Incident,Mediterranean,17/1/2019,0,Unknown,Mixed,Uncategorized,2019,53
2019.MMP00057,"2019.MMP0005757, 2019.MMP0005758",Split Incident,Mediterranean,18/1/2019,0,"Unknown, Sudan","Sub-Saharan Africa (P), Northern Africa",Uncategorized,2019,117
2019.MMP00059,2019.MMP00059,Incident,Mediterranean,18/1/2019,1,Unknown,Western / Southern Asia (P),Uncategorized,2019,0
2019.MMP00060,2019.MMP00060,Incident,Northern Africa,18/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00061,2019.MMP00061,Incident,Western Africa,18/1/2019,13,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00062,2019.MMP00062,Incident,North America,19/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00063,2019.MMP00063,Incident,Western Africa,19/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00064,2019.MMP00064,Incident,Northern Africa,19/1/2019,22,Unknown,Sub-Saharan Africa (P),Northern Africa,2019,0
2019.MMP00065,2019.MMP00065,Incident,Northern Africa,19/1/2019,9,Unknown,Sub-Saharan Africa (P),Northern Africa,2019,0
2019.MMP00066,2019.MMP00066,Incident,North America,19/1/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00067,2019.MMP00067,Incident,Mediterranean,20/1/2019,2,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00068,2019.MMP00068,Incident,Western Africa,20/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00069,2019.MMP00069,Incident,Western Africa,20/1/2019,1,Unknown,Unknown,Western Africa,2019,0
2019.MMP00070,2019.MMP00070,Incident,Northern Africa,20/1/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00071,2019.MMP00071,Incident,Northern Africa,20/1/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00072,2019.MMP00072,Incident,Northern Africa,20/1/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00073,2019.MMP00073,Incident,Western Africa,20/1/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00074,2019.MMP00074,Incident,Western Africa,21/1/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
